policy_id,customer_id,policy_type,coverage_amount,monthly_premium,start_date,status
PC00418-02,C00418,Life,4764409,6002.46,2021-05-17,Active
PC00419-01,C00419,Accident,4157919,6743.57,2018-06-27,Active
PC00419-02,C00419,Life,604086,891.99,2020-03-23,Active
PC00420-01,C00420,Investment,219751,283.94,2020-06-03,Active
PC00421-01,C00421,Life,3830246,6430.65,2019-01-18,Active
PC00422-01,C00422,Accident,3747516,4051.83,2019-08-03,Cancelled
PC00422-02,C00422,Investment,3065118,3315.63,2021-05-27,Active
PC00423-01,C00423,Investment,4760468,7475.29,2020-12-05,Active
PC00423-02,C00423,Investment,824951,1649.45,2018-07-29,Active
PC00424-01,C00424,Life,107236,78.16,2018-06-26,Active
PC00424-02,C00424,Investment,3738186,7060.83,2019-06-07,Lapsed
PC00425-01,C00425,Investment,3873616,7122.69,2022-04-21,Active
PC00425-02,C00425,Investment,3309311,5826.03,2019-05-23,Active
PC00425-03,C00425,Health,560894,841.48,2019-11-20,Active
PC00426-01,C00426,Health,3285203,2715.57,2021-01-13,Active
PC00426-02,C00426,Health,1067896,735.57,2020-05-22,Active
PC00427-01,C00427,Life,1582884,2133.41,2020-08-19,Active
PC00427-02,C00427,Investment,1582502,3030.49,2020-06-22,Lapsed
PC00427-03,C00427,Life,2081015,3888.39,2020-10-15,Lapsed
PC00428-01,C00428,Investment,3165169,5097.3,2020-07-29,Active
PC00428-02,C00428,Health,2871702,4748.78,2020-08-22,Active
PC00429-01,C00429,Health,4910923,5159.98,2019-06-08,Active
PC00430-01,C00430,Life,2316223,2558.7,2019-07-30,Active
PC00430-02,C00430,Health,3658851,2067.13,2022-12-03,Active
PC00430-03,C00430,Accident,3269973,5986.28,2018-04-23,Active
PC00431-01,C00431,Life,2573605,3813.09,2021-04-22,Lapsed
PC00431-02,C00431,Life,2711461,4307.52,2020-01-11,Lapsed
PC00431-03,C00431,Life,1513468,2035.84,2021-07-04,Active
PC00432-01,C00432,Life,3982862,7201.78,2022-08-04,Active
PC00432-02,C00432,Life,2850600,5614.27,2021-05-04,Active
PC00433-01,C00433,Accident,3651750,7264.14,2018-11-08,Active
PC00434-01,C00434,Life,4433172,3813.19,2022-08-30,Active
PC00435-01,C00435,Life,1684008,860.51,2020-01-21,Active
PC00435-02,C00435,Life,3371348,6542.66,2021-06-22,Active
PC00435-03,C00435,Health,893677,1486.65,2018-05-13,Active
PC00436-01,C00436,Accident,3473153,4519.88,2018-04-27,Active
PC00436-02,C00436,Investment,2507121,1834.79,2020-09-18,Active
PC00436-03,C00436,Accident,1414460,1244.43,2019-12-09,Active
PC00437-01,C00437,Investment,1747784,2109.6,2018-07-30,Active
PC00437-02,C00437,Accident,644168,913.76,2018-07-09,Active
PC00438-01,C00438,Health,1665086,3021.78,2020-02-18,Active
PC00438-02,C00438,Life,3304811,2967.94,2019-11-11,Active
PC00439-01,C00439,Accident,2267820,2946.7,2018-11-30,Active
PC00439-02,C00439,Health,4350892,7616.73,2022-10-02,Active
PC00440-01,C00440,Health,1696376,1802.58,2019-12-10,Active
PC00440-02,C00440,Life,4035881,7662.93,2018-05-01,Active
PC00441-01,C00441,Life,4774087,3333.9,2022-05-04,Active
PC00441-02,C00441,Health,1788926,1993.41,2021-02-16,Active
PC00441-03,C00441,Accident,1701615,2117.09,2018-10-23,Active
PC00442-01,C00442,Health,1591150,3068.2,2019-11-10,Active
PC00443-01,C00443,Investment,3112491,4273.77,2022-08-13,Active
PC00444-01,C00444,Life,493569,550.58,2020-06-29,Active
PC00445-01,C00445,Life,3746827,3757.88,2021-09-16,Active
PC00445-02,C00445,Life,4512530,7209.96,2021-05-23,Active
PC00445-03,C00445,Accident,4269936,3337.78,2019-09-12,Active
PC00446-01,C00446,Accident,4600983,7693.5,2018-11-26,Active
PC00446-02,C00446,Health,2775073,3365.5,2018-11-14,Active
PC00447-01,C00447,Health,3507902,4091.48,2022-01-02,Active
PC00448-01,C00448,Investment,232067,306.98,2018-12-31,Active
PC00448-02,C00448,Investment,1131307,669.02,2019-10-04,Active
PC00448-03,C00448,Life,2338118,3225.78,2021-12-18,Active
PC00449-01,C00449,Investment,4261513,7573.31,2021-10-30,Active
PC00450-01,C00450,Health,3982860,6618.45,2022-02-26,Active
PC00450-02,C00450,Health,1197975,2209.71,2021-06-13,Active
PC00450-03,C00450,Health,4290336,7022.88,2019-10-23,Active
PC00451-01,C00451,Accident,2696183,2795.09,2019-03-07,Active
PC00451-02,C00451,Health,348493,266.83,2019-09-21,Active
PC00451-03,C00451,Life,2702792,3089.3,2019-10-14,Active
PC00452-01,C00452,Health,4533218,6278.84,2018-07-05,Active
PC00452-02,C00452,Investment,4788270,4932.67,2022-03-06,Active
PC00453-01,C00453,Health,102981,197.1,2019-04-01,Active
PC00453-02,C00453,Accident,3588180,3696.6,2022-03-06,Active
PC00454-01,C00454,Life,3446766,4632.66,2018-04-01,Active
PC00455-01,C00455,Investment,3625616,5284.08,2018-10-18,Active
PC00455-02,C00455,Life,267938,155.78,2018-04-12,Active
PC00456-01,C00456,Health,218435,251.71,2020-04-25,Active
PC00456-02,C00456,Life,216698,183.23,2020-07-04,Active
PC00457-01,C00457,Accident,2428303,3028.43,2022-07-01,Active
PC00457-02,C00457,Health,2105029,3543.54,2018-12-23,Active
PC00458-01,C00458,Life,552728,651.11,2021-07-15,Active
PC00458-02,C00458,Life,1791332,1402.02,2018-07-22,Active
PC00459-01,C00459,Investment,2533343,1511.58,2018-08-20,Active
PC00459-02,C00459,Health,3294921,3715.54,2021-09-04,Active
PC00459-03,C00459,Life,3066449,2921.71,2021-04-17,Active
PC00460-01,C00460,Accident,1504692,1739.79,2021-07-07,Active
PC00460-02,C00460,Life,1171077,992.73,2018-11-01,Active
PC00460-03,C00460,Health,2674872,3322.49,2018-08-17,Active
PC00461-01,C00461,Accident,1122936,1877.16,2019-07-27,Active
PC00462-01,C00462,Health,4148011,4649.22,2018-10-04,Active
PC00463-01,C00463,Life,2033730,1262.39,2020-05-27,Active
PC00463-02,C00463,Investment,1354801,1660.13,2021-10-14,Active
PC00464-01,C00464,Investment,3290809,2699.96,2021-08-19,Active
PC00465-01,C00465,Health,1177663,2213.33,2022-11-03,Active
PC00465-02,C00465,Health,1352430,1568.3,2021-08-05,Active
PC00465-03,C00465,Life,816952,633.2,2022-06-19,Active
PC00466-01,C00466,Accident,4968610,2688.49,2019-01-02,Active
PC00467-01,C00467,Accident,4206526,8154.69,2019-01-21,Active
PC00467-02,C00467,Accident,2612214,4874.27,2020-09-10,Active
PC00467-03,C00467,Investment,1848293,2714.26,2018-04-10,Active
PC00468-01,C00468,Accident,320576,248.49,2020-05-23,Active
PC00469-01,C00469,Investment,4434074,7439.62,2018-12-13,Active
PC00469-02,C00469,Investment,738547,1334.77,2022-11-14,Active
PC00469-03,C00469,Accident,2996714,3086.37,2019-11-22,Active
PC00470-01,C00470,Investment,3875328,3468.6,2022-01-11,Active
PC00471-01,C00471,Accident,4461791,4221.63,2020-04-20,Active
PC00472-01,C00472,Accident,1388053,2108.46,2021-04-27,Active
PC00473-01,C00473,Life,4965625,9100.5,2020-05-24,Active
PC00474-01,C00474,Accident,2070476,3783.73,2019-05-25,Active
PC00474-02,C00474,Investment,3089032,6110.06,2021-06-16,Active
PC00474-03,C00474,Accident,4755578,6384.34,2018-08-09,Active
PC00475-01,C00475,Health,4428833,8058.13,2018-07-21,Active
PC00475-02,C00475,Investment,4769761,3885.1,2018-02-18,Active
PC00476-01,C00476,Investment,169165,324.39,2022-03-24,Active
PC00476-02,C00476,Life,2447607,2459.01,2022-09-16,Active
PC00477-01,C00477,Accident,4738166,8424.75,2018-01-18,Active
PC00478-01,C00478,Health,122496,129.43,2020-02-09,Active
PC00478-02,C00478,Life,2821566,4644.41,2021-03-30,Active
PC00479-01,C00479,Life,727911,644.84,2020-07-24,Active
PC00480-01,C00480,Accident,1990188,3386.51,2020-01-07,Active
PC00480-02,C00480,Health,2910558,2662.47,2018-06-09,Active
PC00480-03,C00480,Health,2309222,1266.45,2021-02-22,Active
PC00481-01,C00481,Investment,4991526,7507.48,2018-12-23,Active
PC00481-02,C00481,Accident,4272195,6115.85,2019-09-14,Active
PC00481-03,C00481,Investment,3668106,6535.8,2022-03-11,Active
PC00482-01,C00482,Life,2519243,2485.93,2021-03-01,Active
PC00482-02,C00482,Accident,2334423,3346.66,2019-12-30,Active
PC00482-03,C00482,Accident,633665,785.28,2021-08-19,Active
PC00483-01,C00483,Health,4882329,4600.23,2018-02-13,Active
PC00484-01,C00484,Accident,807937,805.28,2022-08-01,Active
PC00485-01,C00485,Life,535391,513.69,2020-05-03,Active
PC00485-02,C00485,Investment,4720589,4889.02,2020-07-17,Active
PC00485-03,C00485,Health,998350,1808.17,2021-05-20,Active
PC00486-01,C00486,Health,3087670,5120.73,2018-07-28,Active
PC00486-02,C00486,Investment,3371787,1794.47,2018-08-16,Active
PC00487-01,C00487,Investment,2976246,5387.14,2021-05-18,Active
PC00487-02,C00487,Health,975923,1697.52,2018-06-17,Active
PC00488-01,C00488,Life,2040942,2441.92,2019-03-05,Active
PC00488-02,C00488,Life,3910965,5810.46,2022-06-11,Active
PC00489-01,C00489,Life,2017556,1469.82,2021-05-03,Active
PC00489-02,C00489,Accident,3551099,5453.61,2020-09-05,Active
PC00489-03,C00489,Investment,1367673,1105.82,2022-12-13,Active
PC00490-01,C00490,Life,1871460,1884.13,2020-12-13,Active
PC00490-02,C00490,Health,3784973,7306.47,2018-05-25,Active
PC00490-03,C00490,Investment,1310623,1360.05,2018-03-06,Active
PC00491-01,C00491,Health,2215382,1284.28,2022-04-26,Active
PC00491-02,C00491,Health,3912621,3601.49,2018-08-27,Active
PC00491-03,C00491,Health,1739729,1240.14,2022-01-17,Active
PC00492-01,C00492,Health,2128224,4018.92,2022-09-05,Active
PC00492-02,C00492,Health,2407076,1568.22,2020-01-06,Active
PC00493-01,C00493,Investment,2980013,1493.81,2018-01-13,Active
PC00494-01,C00494,Health,3247858,3909.16,2018-03-31,Active
PC00495-01,C00495,Life,3193876,3945.91,2020-03-11,Active
PC00495-02,C00495,Investment,1684431,3138.46,2018-02-07,Active
PC00495-03,C00495,Investment,313419,220.02,2019-01-01,Active
PC00496-01,C00496,Accident,2020074,1860.3,2019-03-31,Active
PC00497-01,C00497,Health,2237790,2938.97,2021-01-22,Active
PC00497-02,C00497,Health,2707402,2186.5,2019-02-24,Active
PC00497-03,C00497,Health,2653804,1960.84,2021-06-22,Active
PC00498-01,C00498,Life,719556,884.43,2022-01-21,Active
PC00498-02,C00498,Investment,2098870,2502.58,2020-01-08,Active
PC00499-01,C00499,Life,2985064,5895.32,2018-07-17,Active
PC00500-01,C00500,Investment,1673639,1630.92,2018-09-07,Active
PC00500-02,C00500,Accident,733548,1341.04,2018-12-29,Active
PC00500-03,C00500,Health,4278590,5894.31,2020-06-14,Active
PC00501-01,C00501,Life,2808968,4422.95,2019-02-23,Active
PC00501-02,C00501,Accident,2367057,1541.15,2018-01-19,Active
PC00502-01,C00502,Accident,495445,627.72,2021-09-03,Active
PC00502-02,C00502,Accident,2465669,2081.28,2018-09-25,Active
PC00502-03,C00502,Health,2065106,3063.22,2022-04-17,Active
PC00503-01,C00503,Health,4392757,5763.65,2021-11-05,Active
PC00504-01,C00504,Accident,3326138,2554.28,2019-02-12,Active
PC00505-01,C00505,Accident,1654774,1399.76,2021-03-19,Active
PC00506-01,C00506,Accident,2072446,1786.69,2018-01-06,Active
PC00506-02,C00506,Life,2839629,2462.64,2021-03-26,Active
PC00507-01,C00507,Life,2926341,4211.77,2021-03-14,Active
PC00507-02,C00507,Life,3819749,4145.55,2022-12-06,Active
PC00507-03,C00507,Accident,2158225,3316.82,2019-12-01,Active
PC00508-01,C00508,Health,401090,690.1,2020-02-05,Active
PC00508-02,C00508,Health,2474247,4544.83,2019-07-17,Active
PC00509-01,C00509,Investment,399571,434.93,2018-11-26,Active
PC00509-02,C00509,Life,4930005,4834.57,2018-04-16,Active
PC00510-01,C00510,Accident,109490,65.61,2022-08-22,Active
PC00510-02,C00510,Accident,2730190,3110.13,2022-01-22,Active
PC00511-01,C00511,Health,1814004,3267.52,2019-11-22,Active
PC00511-02,C00511,Health,1702829,1620.97,2018-03-28,Active
PC00512-01,C00512,Health,3854885,4722.47,2019-06-17,Active
PC00513-01,C00513,Life,4711610,4379.48,2020-01-31,Active
PC00513-02,C00513,Accident,1368543,2347.53,2022-08-08,Active
PC00514-01,C00514,Health,3079697,3946.06,2018-08-13,Active
PC00515-01,C00515,Life,4832667,2880.47,2018-06-04,Active
PC00515-02,C00515,Investment,2472672,2525.3,2020-10-24,Active
PC00515-03,C00515,Investment,4433165,7323.08,2020-08-29,Active
PC00516-01,C00516,Health,1312778,1435.93,2019-05-15,Active
PC00516-02,C00516,Life,1608837,1199.88,2018-01-14,Active
PC00516-03,C00516,Accident,1098481,2138.53,2020-09-14,Active
PC00517-01,C00517,Health,4240724,4699.06,2022-07-12,Active
PC00517-02,C00517,Investment,2458453,2138.0,2022-01-19,Active
PC00518-01,C00518,Investment,2304069,4039.47,2022-12-21,Active
PC00518-02,C00518,Investment,1063651,1195.86,2019-04-07,Active
PC00518-03,C00518,Accident,4703414,9291.81,2018-12-03,Active
PC00519-01,C00519,Life,853157,1589.62,2021-05-13,Active
PC00520-01,C00520,Investment,3203432,4117.07,2019-10-17,Active
PC00521-01,C00521,Investment,2172365,1456.39,2019-08-30,Active
PC00522-01,C00522,Health,3903906,6239.87,2019-06-29,Active
PC00522-02,C00522,Health,981256,923.09,2020-11-13,Active
PC00523-01,C00523,Life,4326049,6542.9,2020-10-13,Active
PC00523-02,C00523,Life,3334954,3702.98,2020-06-07,Active
PC00524-01,C00524,Investment,1421560,2388.27,2019-10-10,Active
PC00525-01,C00525,Health,3622294,4223.65,2019-06-11,Active
PC00525-02,C00525,Investment,1315190,2412.76,2020-06-09,Active
PC00526-01,C00526,Health,3881087,3097.78,2019-07-25,Active
PC00527-01,C00527,Health,1694689,1766.9,2018-08-26,Active
PC00527-02,C00527,Accident,4572208,2686.06,2021-03-03,Active
PC00528-01,C00528,Investment,3017974,5297.79,2019-08-15,Active
PC00529-01,C00529,Investment,377429,295.9,2022-04-20,Active
PC00530-01,C00530,Investment,4371090,7804.42,2021-08-04,Active
PC00530-02,C00530,Investment,895667,649.07,2018-07-23,Active
PC00530-03,C00530,Accident,4148251,8058.42,2021-07-02,Active
PC00531-01,C00531,Accident,813774,1138.64,2020-12-04,Active
PC00531-02,C00531,Accident,4296838,3208.6,2019-06-05,Active
PC00532-01,C00532,Life,4693157,6377.22,2019-02-26,Active
PC00533-01,C00533,Health,458618,798.43,2020-05-21,Active
PC00533-02,C00533,Investment,883148,510.28,2022-09-02,Active
PC00534-01,C00534,Health,3823571,3970.17,2021-07-13,Active
PC00534-02,C00534,Accident,4884056,7973.49,2018-01-15,Active
PC00534-03,C00534,Life,2889196,3228.53,2018-05-30,Active
PC00535-01,C00535,Health,4760286,5956.79,2022-12-18,Active
PC00536-01,C00536,Investment,4228690,6294.62,2021-02-04,Active
PC00536-02,C00536,Life,4509200,8136.66,2020-09-20,Active
PC00536-03,C00536,Investment,785459,1337.94,2020-09-11,Active
PC00537-01,C00537,Investment,229101,233.1,2020-10-02,Active
PC00537-02,C00537,Accident,1916723,3535.78,2019-04-19,Active
PC00537-03,C00537,Life,1244459,712.96,2022-02-09,Active
PC00538-01,C00538,Life,2699621,2000.37,2022-06-12,Active
PC00538-02,C00538,Health,914437,946.55,2018-05-13,Active
PC00538-03,C00538,Health,1227331,814.0,2019-04-09,Active
PC00539-01,C00539,Investment,4464870,4827.04,2020-04-23,Active
PC00539-02,C00539,Investment,3254183,4830.52,2021-12-04,Active
PC00539-03,C00539,Life,2402220,2976.24,2022-09-20,Active
PC00540-01,C00540,Health,4500608,6243.86,2019-07-22,Active
PC00540-02,C00540,Accident,4487147,7647.49,2020-09-25,Active
PC00541-01,C00541,Health,256265,390.82,2019-05-26,Active
PC00542-01,C00542,Life,210926,234.81,2021-12-27,Active
PC00542-02,C00542,Health,833276,1615.28,2021-05-02,Active
PC00543-01,C00543,Health,712416,644.91,2022-01-06,Active
PC00543-02,C00543,Life,3414261,3459.38,2022-03-29,Active
PC00543-03,C00543,Health,337133,530.37,2019-11-13,Active
PC00544-01,C00544,Health,3973761,2067.69,2020-03-11,Active
PC00545-01,C00545,Investment,3744910,5258.64,2022-06-22,Active
PC00545-02,C00545,Accident,1247688,1615.53,2021-09-26,Active
PC00545-03,C00545,Life,1073814,1136.13,2022-06-03,Active
PC00546-01,C00546,Investment,295390,274.78,2021-02-07,Active
PC00546-02,C00546,Investment,715885,1078.62,2022-03-23,Active
PC00546-03,C00546,Accident,1891667,2808.66,2018-12-28,Active
PC00547-01,C00547,Life,1626987,1854.24,2019-10-29,Active
PC00547-02,C00547,Accident,4897075,4394.96,2019-11-11,Active
PC00548-01,C00548,Investment,132297,185.39,2019-08-02,Active
PC00548-02,C00548,Life,2866433,4489.83,2019-01-05,Active
PC00548-03,C00548,Health,934599,1094.45,2021-11-02,Active
PC00549-01,C00549,Investment,2644160,4593.65,2021-05-30,Active
PC00549-02,C00549,Life,4711654,9020.39,2018-08-22,Active
PC00550-01,C00550,Investment,3120537,2354.38,2019-11-07,Active
PC00551-01,C00551,Health,3143470,2747.22,2021-08-23,Active
PC00551-02,C00551,Accident,2713654,2963.87,2020-06-23,Active
PC00551-03,C00551,Health,2291183,3539.15,2019-06-26,Active
PC00552-01,C00552,Life,4804696,6486.57,2018-10-11,Active
PC00553-01,C00553,Life,506275,714.08,2022-12-03,Active
PC00554-01,C00554,Life,4006991,2672.8,2021-11-12,Active
PC00554-02,C00554,Health,228261,294.33,2021-12-24,Active
PC00554-03,C00554,Life,1235241,1914.55,2021-10-07,Active
PC00555-01,C00555,Accident,1263269,1201.33,2020-03-13,Active
PC00555-02,C00555,Accident,770532,1372.58,2022-09-22,Active
PC00555-03,C00555,Accident,3856686,3064.27,2021-06-02,Active
PC00556-01,C00556,Health,2858342,3063.13,2020-07-27,Active
PC00556-02,C00556,Investment,1966583,3324.16,2019-02-10,Active
PC00557-01,C00557,Investment,3486804,5028.86,2020-05-09,Active
PC00557-02,C00557,Accident,2633004,4610.49,2022-10-23,Active
PC00557-03,C00557,Life,3941562,4401.76,2018-11-29,Active
PC00558-01,C00558,Life,3160662,2740.66,2019-02-20,Active
PC00558-02,C00558,Accident,856087,688.75,2021-06-08,Active
PC00559-01,C00559,Accident,1546746,1438.0,2020-10-06,Active
PC00560-01,C00560,Health,991073,1429.4,2019-12-23,Active
PC00560-02,C00560,Accident,2110091,1424.65,2021-07-04,Active
PC00560-03,C00560,Accident,3302550,5875.02,2019-12-26,Active
PC00561-01,C00561,Life,3948766,4541.78,2018-12-21,Active
PC00561-02,C00561,Accident,1161472,1055.6,2021-03-10,Active
PC00561-03,C00561,Life,2206495,4168.75,2021-12-01,Active
PC00562-01,C00562,Accident,681877,987.15,2022-09-13,Active
PC00562-02,C00562,Investment,4990837,4200.3,2020-10-23,Active
PC00562-03,C00562,Investment,4135807,5349.94,2022-05-05,Active
PC00563-01,C00563,Accident,915483,1325.19,2019-04-26,Active
PC00563-02,C00563,Investment,190817,305.36,2022-07-10,Active
PC00563-03,C00563,Life,2633358,2921.14,2022-05-22,Active
PC00564-01,C00564,Accident,585243,1078.19,2020-07-03,Active
PC00564-02,C00564,Investment,2555854,1986.39,2021-06-13,Active
PC00565-01,C00565,Accident,4950263,2821.67,2019-07-07,Active
PC00565-02,C00565,Investment,2179983,3040.71,2020-10-27,Active
PC00565-03,C00565,Investment,4334009,4166.05,2022-06-23,Active
PC00566-01,C00566,Accident,3378991,4824.56,2018-03-05,Active
PC00567-01,C00567,Investment,1609999,1730.52,2022-02-25,Active
PC00567-02,C00567,Health,164182,306.21,2021-11-19,Active
PC00568-01,C00568,Health,368827,634.3,2019-06-09,Active
PC00568-02,C00568,Life,1096835,2041.71,2019-08-26,Active
PC00569-01,C00569,Accident,1128715,1747.81,2022-12-11,Active
PC00569-02,C00569,Life,1967979,3909.42,2018-01-30,Active
PC00569-03,C00569,Life,3773160,2899.31,2022-07-21,Active
PC00570-01,C00570,Health,3173615,2735.47,2022-03-04,Active
PC00570-02,C00570,Life,3604456,5696.42,2020-07-30,Active
PC00570-03,C00570,Investment,2077900,1199.83,2022-06-11,Active
PC00571-01,C00571,Health,4708500,5596.38,2019-12-04,Active
PC00572-01,C00572,Investment,1802073,1659.4,2018-03-22,Active
PC00572-02,C00572,Health,3643256,6718.34,2018-07-08,Active
PC00572-03,C00572,Life,4364543,2692.93,2020-05-04,Active
PC00573-01,C00573,Health,1020833,1827.25,2018-09-27,Active
PC00573-02,C00573,Accident,2013501,2082.07,2019-12-19,Active
PC00573-03,C00573,Life,2841762,4799.25,2019-02-21,Active
PC00574-01,C00574,Investment,148649,185.52,2022-08-09,Active
PC00575-01,C00575,Investment,1842570,3246.26,2018-05-16,Active
PC00575-02,C00575,Investment,469863,655.15,2018-10-28,Active
PC00576-01,C00576,Health,1572863,1141.22,2020-09-09,Active
PC00576-02,C00576,Life,509606,483.58,2022-08-21,Active
PC00577-01,C00577,Health,502417,926.84,2019-12-14,Active
PC00577-02,C00577,Health,3406511,2681.22,2022-07-10,Active
PC00578-01,C00578,Accident,3612418,3475.54,2021-04-15,Active
PC00578-02,C00578,Investment,1244431,890.04,2022-08-30,Active
PC00579-01,C00579,Health,2866459,2069.41,2019-05-06,Active
PC00580-01,C00580,Investment,1755036,1893.94,2022-10-15,Active
PC00581-01,C00581,Investment,3262995,5118.04,2020-05-02,Active
PC00582-01,C00582,Health,4136359,5952.76,2019-03-20,Active
PC00582-02,C00582,Investment,2870241,2126.78,2018-11-12,Active
PC00583-01,C00583,Investment,2731342,5250.6,2019-10-16,Active
PC00583-02,C00583,Life,2181053,2615.54,2021-10-12,Active
PC00584-01,C00584,Health,3961523,6224.66,2022-10-30,Active
PC00584-02,C00584,Life,405341,610.74,2022-08-04,Active
PC00584-03,C00584,Life,1143677,1843.53,2019-12-28,Active
PC00585-01,C00585,Life,1582916,998.87,2021-04-06,Active
PC00585-02,C00585,Health,1259503,763.56,2018-03-21,Active
PC00586-01,C00586,Life,2908382,3913.5,2018-09-20,Active
PC00586-02,C00586,Accident,1483430,1503.53,2019-04-22,Active
PC00587-01,C00587,Accident,1335659,1490.54,2019-12-24,Active
PC00588-01,C00588,Health,2693067,1772.8,2019-02-22,Active
PC00588-02,C00588,Investment,1342387,794.2,2021-05-12,Active
PC00589-01,C00589,Health,1121091,1338.35,2021-03-07,Active
PC00589-02,C00589,Health,1149371,2109.44,2020-03-14,Active
PC00590-01,C00590,Life,884602,947.84,2022-05-13,Active
PC00590-02,C00590,Accident,2710951,4451.94,2020-05-30,Active
PC00591-01,C00591,Health,2293431,2258.45,2022-11-23,Active
PC00592-01,C00592,Life,4714789,3962.13,2021-01-04,Active
PC00592-02,C00592,Health,4376427,5270.61,2018-02-04,Active
PC00592-03,C00592,Health,699159,458.06,2019-05-01,Active
PC00593-01,C00593,Accident,1932448,2247.02,2019-12-09,Active
PC00593-02,C00593,Investment,710792,530.52,2019-08-29,Active
PC00594-01,C00594,Accident,2339452,3638.75,2021-10-07,Active
PC00594-02,C00594,Accident,2580363,2306.33,2020-01-23,Active
PC00594-03,C00594,Investment,1877790,1521.12,2020-01-19,Active
PC00595-01,C00595,Investment,330433,554.61,2018-10-29,Active
PC00595-02,C00595,Investment,159714,82.0,2019-09-18,Active
PC00595-03,C00595,Accident,4048809,5021.74,2022-07-01,Active
PC00596-01,C00596,Life,4780345,5520.78,2018-10-19,Active
PC00596-02,C00596,Health,4965319,5884.42,2022-05-06,Active
PC00596-03,C00596,Accident,665305,716.25,2018-04-22,Active
PC00597-01,C00597,Investment,439887,681.68,2022-10-14,Active
PC00597-02,C00597,Health,881813,1401.21,2019-05-26,Active
PC00598-01,C00598,Investment,4128840,6157.27,2022-02-20,Active
PC00598-02,C00598,Investment,2743368,3795.3,2022-10-12,Active
PC00598-03,C00598,Life,3985668,2854.89,2022-06-26,Active
PC00599-01,C00599,Life,268093,337.74,2021-11-28,Active
PC00599-02,C00599,Accident,2885172,2387.26,2020-11-07,Active
PC00599-03,C00599,Investment,1553060,2553.99,2020-06-09,Active
PC00600-01,C00600,Health,4976117,7698.35,2021-07-30,Active
PC00600-02,C00600,Life,1597556,1840.98,2018-01-02,Active
PC00601-01,C00601,Health,4210357,7870.61,2022-07-22,Active
PC00601-02,C00601,Accident,4526602,3799.82,2022-11-15,Active
PC00601-03,C00601,Accident,1822013,1294.9,2018-09-08,Active
PC00602-01,C00602,Accident,1818389,1148.51,2022-03-05,Active
PC00602-02,C00602,Life,1178679,757.78,2021-02-04,Active
PC00603-01,C00603,Accident,2137624,2012.03,2020-08-05,Active
PC00603-02,C00603,Investment,3146727,5684.71,2020-08-09,Active
PC00603-03,C00603,Health,1823559,3340.67,2022-05-23,Active
PC00604-01,C00604,Investment,2742382,3025.46,2022-02-26,Active
PC00605-01,C00605,Life,1754053,1624.05,2019-03-26,Active
PC00605-02,C00605,Health,4102532,3165.65,2021-11-04,Active
PC00606-01,C00606,Accident,4316195,7756.02,2020-05-19,Active
PC00606-02,C00606,Investment,2637899,2524.92,2019-08-15,Active
PC00607-01,C00607,Investment,598251,438.62,2020-11-23,Active
PC00607-02,C00607,Health,3895182,5694.7,2018-08-15,Active
PC00607-03,C00607,Life,214007,413.43,2022-05-14,Active
PC00608-01,C00608,Accident,2059446,3703.73,2021-06-13,Active
PC00608-02,C00608,Life,3251994,5519.65,2019-09-30,Active
PC00609-01,C00609,Accident,1943635,3744.08,2018-07-29,Active
PC00610-01,C00610,Life,2255357,2934.38,2018-05-05,Active
PC00610-02,C00610,Investment,2771823,3861.64,2022-04-20,Active
PC00611-01,C00611,Life,3796550,5332.38,2022-05-22,Active
PC00611-02,C00611,Accident,2729747,1830.66,2021-03-20,Active
PC00612-01,C00612,Investment,2700348,3627.24,2019-10-07,Active
PC00613-01,C00613,Life,4012203,2966.96,2019-10-24,Active
PC00613-02,C00613,Life,3915674,4882.71,2019-01-10,Active
PC00614-01,C00614,Health,4808975,7563.29,2018-07-06,Active
PC00614-02,C00614,Investment,2796376,4276.15,2022-04-06,Active
PC00615-01,C00615,Health,3434359,5731.91,2018-08-24,Active
PC00615-02,C00615,Accident,102195,180.92,2022-03-30,Active
PC00616-01,C00616,Health,743148,1007.71,2019-08-31,Active
PC00617-01,C00617,Health,670881,722.15,2022-01-16,Active
PC00617-02,C00617,Life,1274904,1388.77,2021-04-18,Active
PC00617-03,C00617,Health,2167947,3666.82,2020-08-28,Active
PC00618-01,C00618,Health,3966232,6712.67,2019-11-29,Active
PC00618-02,C00618,Life,3490790,4973.95,2019-11-20,Active
PC00618-03,C00618,Health,4035145,2338.07,2018-07-25,Active
PC00619-01,C00619,Life,4863512,6382.64,2018-11-30,Active
PC00620-01,C00620,Health,522873,627.8,2021-08-07,Active
PC00620-02,C00620,Investment,3182850,5929.36,2018-11-19,Active
PC00620-03,C00620,Health,262245,144.04,2019-05-09,Active
PC00621-01,C00621,Investment,1720371,2838.15,2021-09-02,Active
PC00622-01,C00622,Life,3954529,2885.58,2019-04-26,Active
PC00622-02,C00622,Accident,4560329,7265.44,2020-08-12,Active
PC00622-03,C00622,Investment,1475748,821.74,2021-05-31,Active
PC00623-01,C00623,Health,2495966,3943.73,2020-09-25,Active
PC00623-02,C00623,Investment,2255592,1300.64,2020-11-11,Active
PC00623-03,C00623,Investment,3570569,4082.69,2020-01-01,Active
PC00624-01,C00624,Accident,221373,380.6,2022-07-01,Active
PC00624-02,C00624,Life,2166772,2218.1,2021-10-27,Active
